artist,birth_year,death_year,total,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Ed Ruscha,1937,,205,1,0,3,0,1,5,3,1,0,0,1,0,0,0,0,0,0,0,0,0
Edgar Pillet,1912,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Edouard Pignon,1905,1993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Edouardo Arroyo,1937,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eduardo Chillida,1924,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eduardo Jonquieres,1918,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Elaine Frances Horan Sturtevant,1926,2014,7,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Ellsworth Kelly,1923,2015,264,1,0,0,2,1,2,4,0,0,0,1,0,0,0,0,0,0,0,0,0
Elvire Jan Kouyoumjian,1904,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Emilio Grau-Sala,1911,1975,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Enrico Baj,1924,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enrico Castellani,1930,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enrico Donati,1909,2008,117,1,2,1,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Ernst Wilhelm Nay,1902,1968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Esteban Vicente,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Etienne Beothy,1897,1961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eugne Leroy,1910,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eva Hesse,1936,1970,113,3,0,0,2,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0
Ezekiel Baroukh,1909,1984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fateh Moudarres,1922,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Felix Labisse,1905,1982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ferit Iscan,1931,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fernando Botero,1932,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fikret Mualla,1903,1967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Francis Bacon,1909,1992,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Francis Bott,1904,1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Francisco Lopez,1898,1972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Francisco Toledo,1940,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Francisco Zuniga,1912,1998,7,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Francois Arnal,1924,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Francois Charles Alexis Albert Morellet,1926,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frank Helmut Auerbach,1931,,19,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Frank Stella,1936,,289,3,1,1,2,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0
Franz Beer,1929,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Franz Josef Kline,1910,1962,291,2,2,0,1,2,0,3,1,1,0,1,0,0,0,0,0,0,0,0,0
Fred Deux,1924,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frederic Benrath,1930,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frederick Sandback,1943,2003,21,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Friedel Dzubas,1915,1994,42,1,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Friedensreich Hundertwasser,1928,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Garcia Tella,1906,1938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gaston Chaissac,1910,1964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gen Paul,1895,1975,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene Davis,1920,1985,45,2,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0
Genevieve Asse,1923,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Genevieve Claisse,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Georg Kern Baselitz,1938,,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Georges Anatolievich Pogedaieff,1897,1971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Georges Mathieu,1921,2012,6,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Georges Noel,1924,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gerard Ernest Schneider,1896,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gerard Fromanger,1939,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gerard Gasiorowski,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gerard Guyomard,1936,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gerard Schlosser,1931,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gerard Titus-Carmel,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gerardo Chavez Lopez,1937,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gerhard Richter,1932,,5,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Gianfranco Baruchello,1924,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gianni Bertini,1922,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gilbert & George,1834,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gilles Aillaud,1928,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Giuseppe Capogrossi,1900,1972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grace Hartigan,1922,2008,106,2,2,0,0,1,1,2,0,1,0,1,0,0,0,0,0,0,0,0,1
Gudmundur Erro,1932,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guenther Uecker,1930,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guillaume Corneille,1922,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gustave Bolin,1920,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gustave Singier,1909,1984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haiwen Tang,1927/29,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hajime Kato,1925,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hans Hartung,1904,1989,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hans Hofmann,1880,1966,297,3,2,1,1,2,0,3,0,1,0,1,0,1,0,0,0,0,0,0,0
Hans Reichel,1892,1958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Heinz Mack,1931,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Helen Frankenthaler,1928,2011,247,2,1,1,1,1,2,2,1,0,1,0,1,0,0,0,0,0,0,0,1
Henri Bernard Goetz,1909,1989,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Henri Hayden,1883,1970,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Henri Michaux,1899,1984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Herbert Zangs,1924,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Herve Telemaque,1937,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hisao Domoto,1928,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Horia Damian,1922,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Horst Antes,1936,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Huguette Arthur Bertrand,1922,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ibrahim Hussein,1936,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Igael Tumarkin,1933,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ilya Bolotowsky,1907,1981,109,1,2,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0
Ivan Messac,1948,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jack Hamilton Bush,1909,1977,46,1,0,2,0,0,0,3,0,1,0,1,1,0,0,1,0,0,0,0,0
Jack Tworkov,1900,1982,108,2,2,0,0,1,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0
Jackson Pollock,1912,1956,504,5,7,3,3,1,3,2,1,2,1,2,1,0,0,0,1,0,0,0,0
Jacques Doucet,,,504,5,7,3,3,1,3,2,1,2,1,2,1,0,0,0,1,0,0,0,0
Jacques Germain,1915,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jacques Herold,1910,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jacques Monory,1924,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jacques Truphemus,1922,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jacques Van Den Bussche,1925,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
James Brooks,1906,1992,111,3,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
James Guitet,1925,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
James Pichette,1920,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
James Rosenquist,1933,2017,231,1,1,0,0,1,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0
Jan Lebenstein,1930,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jan Meijer,1927,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jan Schoonhoven,1914,1994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jannis Kounellis,1936,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jaroslav Serpan,1922,1976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jasper Johns,1930,,376,2,0,1,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
Javier Vilato,1921,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jean Bertholle,1909,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jean Carzou,1907,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jean Chevolleau,1924,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jean Corbassiere,1920,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jean Cortot,1925,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jean Degottex,1918,1988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jean Dominique Villeri,1896,1982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jean Dubuffet,1901,1985,4,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Jean Fautrier,1898,1964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jean Helion,1904,1987,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jean Le Moal,1909,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jean Leppien,1910,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jean Lombard,1895,1983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jean Lucebert,1924,1994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jean Mailhe,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jean Maurice Eugene Clement Cocteau,1889,1963,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
